epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,4444.71,1.24863,0.96246,1.41715,0.64916,0.61297,0.66539,0.34671,1.79061,1.22655,2.09561,0.0006536,0.0006536,0.0006536
138,4477.04,1.22441,0.92914,1.40819,0.63267,0.61287,0.64521,0.33956,1.8268,1.25107,2.12199,0.0006437,0.0006437,0.0006437
139,4509.42,1.23332,0.97251,1.43933,0.75093,0.55215,0.67164,0.33877,1.78459,1.25534,2.0837,0.0006338,0.0006338,0.0006338
140,4541.63,1.17763,0.8966,1.39902,0.72046,0.61666,0.71041,0.35677,1.80503,1.21928,2.09067,0.0006239,0.0006239,0.0006239
141,4574.13,1.20988,0.93375,1.41176,0.71393,0.64305,0.69017,0.33544,1.85297,1.26827,2.14009,0.000614,0.000614,0.000614
142,4606.51,1.20102,0.90903,1.38851,0.65984,0.65644,0.69144,0.35556,1.80071,1.20758,2.08196,0.0006041,0.0006041,0.0006041
143,4638.8,1.23465,0.94015,1.42183,0.64966,0.6319,0.65239,0.35077,1.77855,1.21095,2.0769,0.0005942,0.0005942,0.0005942
144,4671.12,1.20371,0.92521,1.38882,0.71456,0.60736,0.66666,0.34315,1.84853,1.28259,2.16473,0.0005843,0.0005843,0.0005843
145,4703.45,1.19331,0.93441,1.40814,0.67865,0.63486,0.68306,0.33922,1.83318,1.29078,2.1596,0.0005744,0.0005744,0.0005744
146,4735.74,1.19856,0.86623,1.38933,0.69712,0.60736,0.69053,0.34673,1.85609,1.25527,2.19251,0.0005645,0.0005645,0.0005645
147,4768.06,1.18223,0.90382,1.40378,0.66397,0.63038,0.68434,0.33789,1.8868,1.25031,2.20837,0.0005546,0.0005546,0.0005546
148,4800.42,1.21282,0.92107,1.41177,0.70325,0.61066,0.68794,0.35679,1.79705,1.21032,2.12521,0.0005447,0.0005447,0.0005447
149,4832.84,1.16731,0.8827,1.37812,0.65601,0.6319,0.68369,0.35854,1.80208,1.20876,2.12451,0.0005348,0.0005348,0.0005348
150,4865.23,1.1923,0.88532,1.40519,0.64307,0.61899,0.64632,0.33253,1.85515,1.28099,2.16904,0.0005249,0.0005249,0.0005249
151,4897.6,1.18806,0.93518,1.41108,0.73274,0.65644,0.69277,0.34079,1.85992,1.23821,2.19175,0.000515,0.000515,0.000515
